BehaviorSpace results (NetLogo 5.0.4),,,,,,,,,,,,,,,,num-cliques,social-butterflies?,,,,infection-chance
Safe_Sex_Attitudes_and_Behaviors-modelingcommons-tue.nlogo,,,,min-pxcor,max-pxcor,,,,,,,,,,,5,FALSE,,,,30
infect-1-5cliquesof7-4friends-nobutterflies-femalesymp,,,,-15,15,,,,,,,,,,,clique-size,,avg-female-condom-intention,,,symptomatic?
06/23/2013 20:20:59:378 -0700,,,,min-pycor,max-pycor,,,,,,,,,,,7,,80,,,"""females-symptomatic?"""
,,,,-15,15,,,,,,,,,,,avg-num-friends,,avg-male-condom-intention,,,show-labels?
,,,,,,,,,,,,,,,,4,,20,,,FALSE
,,,,,,,,,,,,,,,,,,,,,
[run number],%-receive-condom-sex-ed,avg-mesosystem-condom-encouragement,[step],%infected,%M-infected,%F-infected,avg-safe-sex-likelihood,avg-attitude,avg-justification,avg-certainty,,avg-male-safe-sex-likelihood,avg-female-safe-sex-likelihood,avg-male-attitude,avg-female-attitude,avg-male-justification,avg-female-justification,,,avg-male-certainty,avg-female-certainty
85,20,80,361,2.857142857,0,5.882352941,37.8803966,49.33222177,2.857142857,99.99726266,,24.14678177,52.42187113,23.29356354,76.90256578,0,5.882352941,,,99.99467739,100
86,20,90,246,17.14285714,5.555555556,29.41176471,41.81077988,53.48913299,14.28571429,99.99812266,,22.50762017,62.24941958,20.01524034,88.93207815,0,29.41176471,,,100,99.99613489
87,20,90,243,14.28571429,5.555555556,23.52941176,41.72538556,52.7364854,11.42857143,99.99761355,,22.93013939,61.62623444,20.86027877,86.487763,0,23.52941176,,,100,99.99508672
88,20,90,220,11.42857143,5.555555556,17.64705882,40.79068584,52.19425824,8.774226901,99.99845035,,23.3527419,59.25439119,21.50831876,84.68525297,0.394330085,17.64705882,,,99.99698679,100
89,20,90,303,22.85714286,5.555555556,41.17647059,44.46015854,53.92031707,20,99.998318,,23.52547487,66.62629418,22.05094975,87.66435307,0,41.17647059,,,99.99672945,100
90,20,90,283,2.857142857,0,5.882352941,38.3992913,50.37001118,2.857142857,99.99879687,,23.41094004,54.26931029,21.82188008,80.59744411,0,5.882352941,,,100,99.99752297
91,30,10,917,2.857142857,0,5.882352941,40.91378148,55.39899153,2.857142857,99.99890919,,25.94081479,56.76751091,26.88162959,85.59384535,0,5.882352941,,,100,99.99775421
92,30,10,921,31.42857143,5.555555556,58.82352941,47.42207877,55.55844325,28.57142857,99.99737468,,23.30768056,72.95497099,21.61536112,91.49817727,0,58.82352941,,,99.99489522,100
93,30,10,913,2.857142857,0,5.882352941,37.86129164,49.29401184,2.857142857,99.99936712,,23.51065608,53.05608222,22.02131217,78.17098797,0,5.882352941,,,99.9987694,100
94,30,10,925,2.857142857,0,5.882352941,39.11312811,51.7976848,2.857142857,99.99951882,,23.95188014,55.16621421,22.90376028,82.39125194,0,5.882352941,,,100,99.99900934
95,30,10,920,2.857142857,0,5.882352941,39.01233303,51.59609463,2.857142857,99.99858948,,25.37964103,53.44694808,25.75928207,78.95271969,0,5.882352941,,,100,99.997096
96,30,20,841,2.857142857,0,5.882352941,38.68975503,50.95093863,2.857142857,99.9990017,,24.60632912,53.60161776,24.21265823,79.26205905,0,5.882352941,,,99.99805886,100
97,30,20,844,2.857142857,0,5.882352941,38.52324781,50.6179242,2.857142857,99.99813007,,23.89795929,54.00884742,22.79591859,80.07651837,0,5.882352941,,,100,99.99615015
98,30,20,852,2.857142857,0,5.882352941,39.34567694,52.26278245,2.857142857,99.99982243,,24.41249858,55.15727755,23.82499716,82.37337864,0,5.882352941,,,99.99965472,100
